Name,Platform,Developer,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Classic NES Series: Zelda II: The Adventure of Link,GBA,Nintendo,Nintendo,0.7,0.37,0.14,0.17,0.01
Mario Pinball Land,GBA,Fuse Games Limited,Nintendo,0.69,0.5,0.18,0,0.01
Kirby's Dream Collection: Special Edition,Wii,HAL Labs,Nintendo,0.67,0.33,0,0.33,0.02
Fossil Fighters: Champions,DS,"RED Entertainment, Artdink",Nintendo,0.67,0.31,0,0.34,0.02
100 Classic Books,DS,Genius Sonority Inc.,Nintendo,0.66,0.12,0.52,0,0.02
F-Zero GX,GC,Amusement Vision,Nintendo,0.65,0.41,0.11,0.12,0.02
Yoshi Topsy-Turvy,GBA,Artoon,Nintendo,0.65,0.25,0.09,0.3,0.01
Advance Wars 2: Black Hole Rising,GBA,Intelligent Systems,Nintendo,0.65,0.47,0.17,0,0.01
Wario: Master of Disguise,DS,Suzak,Nintendo,0.65,0.28,0.02,0.33,0.03
The Last Story,Wii,"Mistwalker, Artoon",Nintendo,0.65,0.3,0.13,0.18,0.04
Donkey Kong Barrel Blast,Wii,Paon Corporation,Nintendo,0.62,0.19,0.26,0.11,0.06
Fire Emblem: Shadow Dragon,DS,Intelligent Systems,Nintendo,0.61,0.29,0.02,0.27,0.03
Metroid Prime: Trilogy,Wii,Retro Studios,Nintendo,0.61,0.42,0.05,0,0.14
Advance Wars: Days of Ruin,DS,Intelligent Systems,Nintendo,0.61,0.43,0.12,0,0.05
Final Fantasy IV Advance,GBA,TOSE,Nintendo,0.61,0.27,0.1,0.22,0.01
Wave Race: Blue Storm,GC,Nintendo,Nintendo,0.6,0.4,0.1,0.09,0.02
WarioWare D.I.Y.,DS,Intelligent Systems,Nintendo,0.59,0.17,0.18,0.2,0.04
Classic NES Series: Dr. Mario,GBA,Nintendo,Nintendo,0.56,0.31,0.11,0.13,0.01
Tetris Party Deluxe,Wii,"Tetris Online, Inc",Nintendo,0.56,0.33,0.16,0.02,0.05
Fire Emblem: Path of Radiance,GC,Intelligent Systems,Nintendo,0.54,0.29,0.08,0.16,0.01
Hotel Dusk: Room 215,DS,Cing,Nintendo,0.54,0.26,0.04,0.22,0.03
Excite Truck,Wii,Monster Games Inc.,Nintendo,0.53,0.39,0.03,0.08,0.04
Star Fox Command,DS,Q-Games,Nintendo,0.53,0.38,0.01,0.1,0.04
Mario Tennis: Power Tour,GBA,Camelot Software Planning,Nintendo,0.52,0.24,0.09,0.19,0.01
Kirby and the Rainbow Curse,WiiU,HAL Labs,Nintendo,0.52,0.22,0.13,0.12,0.04
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,8ing/Raizing,Nintendo,0.51,0.44,0.03,0,0.04
