Developer,Genre,Total_Global_Sales
Activision,Platform,0.26
Oddworld Inhabitants,Adventure,0.26
Prokion,Role-Playing,0.26
Racjin,Simulation,0.26
Two Tribes,Puzzle,0.26
Cinegroupe,Adventure,0.26
Coyote Developments,Shooter,0.26
Surreal Software,Adventure,0.26
Indies Zero,Simulation,0.26
Starfish,Sports,0.26
Hudson Soft,Role-Playing,0.26
Crispy's,Action,0.26
Legacy Interactive,Simulation,0.26
"LDW, Big Fish Games",Simulation,0.26
Warthog,Simulation,0.26
Konami Computer Entertainment Hawaii,Action,0.26
Team 17,Adventure,0.26
Dreamcatcher,Simulation,0.25
Secret Level,Shooter,0.25
2015,Shooter,0.25
Hudson,Adventure,0.25
Runecraft,Action,0.25
AQ Interactive,Simulation,0.25
7 Studios,Adventure,0.25
Kemco,Action,0.25
Amaze,Action,0.25
SCE Studio Cambridge,Misc,0.25
Y's K,Simulation,0.25
Majesco Games,Misc,0.25
Big Ant Studios,Racing,0.25
BottleRocket Entertainment,Action,0.25
Bongfish,Sports,0.25
SimBin,Racing,0.25
Tamsoft,Misc,0.25
Relic,Action,0.25
Ubisoft Shanghai,Misc,0.25
Ubisoft Nagoya,Simulation,0.25
Tornado Studios,Simulation,0.25
Southend Interactive,Shooter,0.25
Rockstar Leeds,Adventure,0.25
Savage Entertainment,Role-Playing,0.25
Mastiff,Shooter,0.25
HotGen,Action,0.25
Sony Interactive Entertainment,Misc,0.25
Activision Value,Misc,0.25
Oxygen Interactive,Sports,0.25
Saffire,Platform,0.25
Empire Interactive,Simulation,0.25
Blue Byte,Sports,0.24
Hasbro Interactive,Shooter,0.24
Metro Graphics,Misc,0.24
Idol Minds,Misc,0.24
Lucky Chicken,Racing,0.24
Trickstar Games,Simulation,0.24
Blue Byte,Action,0.24
"Tamsoft, D3Publisher",Action,0.24
Isopod Labs,Racing,0.24
"Io Interactive, Nixxes Software",Action,0.24
Handheld Games,Adventure,0.24
Art,Misc,0.24
K2 LLC,Role-Playing,0.24
Shin'en,Puzzle,0.24
Graffiti Entertainment,Misc,0.24
Black Lantern Studios,Adventure,0.24
Cattle Call,Misc,0.24
Falcom,Action,0.24
Curious Pictures,Misc,0.24
Acclaim Studios Austin,Platform,0.24
"Matrix Software, Marvelous Entertainment",Role-Playing,0.24
n-Space,Platform,0.24
Data Design Interactive,Racing,0.23
Krome Studios,Misc,0.23
Junction Point,Action,0.23
Black Lantern Studios,Sports,0.23
VU Games,Action,0.23
Bam Entertainment,Racing,0.23
Backbone Entertainment,Action,0.23
iWin,Puzzle,0.23
"Hudson, NATSUME ATARI Inc.",Sports,0.23
Human Soft,Racing,0.23
4J Studios,Strategy,0.23
Alfa System,Shooter,0.23
Criterion Games,Sports,0.23
Oxygen Interactive,Misc,0.23
Red Tribe,Platform,0.23
Sanrio Digital,Adventure,0.23
Jet Black Games,Sports,0.23
Re-Logic,Action,0.23
Q Entertainment,Misc,0.23
Gaijin Games,Misc,0.23
SolWorks,Sports,0.23
Matrix Software,Adventure,0.23
Blueshift,Sports,0.23
Sumo Digital,Adventure,0.23
Blue Tongue,Adventure,0.23
Gratuitous Games,Shooter,0.23
Kojima Productions,Role-Playing,0.23
Racjin,Misc,0.23
Magic Pixel Games,Misc,0.23
Mix Max,Misc,0.22
Pseudo Interactive,Shooter,0.22
Guildford Studio,Shooter,0.22
Full-Fat,Sports,0.22
Ubisoft Montreal,Platform,0.22
Backbone Entertainment,Strategy,0.22
Midway Studios - San Diego,Racing,0.22
3DO,Adventure,0.22
ITL,Role-Playing,0.22
Atomic Planet Entertainment,Adventure,0.22
Taniko,Action,0.22
Deep Silver,Puzzle,0.22
Edge of Reality,Adventure,0.22
Rainbow Studios,Action,0.22
Climax Entertainment,Strategy,0.22
Ubisoft Sao Paulo,Simulation,0.22
Phoenix Entertainment,Action,0.22
AQ Interactive,Misc,0.22
Techland,Racing,0.22
Mobius Entertainment,Misc,0.22
Blade Interactive,Sports,0.22
Electronic Arts,Puzzle,0.22
Bit Town,Simulation,0.22
Jack of All Games,Misc,0.22
Fall Line Studio,Misc,0.22
Phoenix Interactive Entertainment,Adventure,0.22
Hudson Soft,Sports,0.22
Hit Maker,Role-Playing,0.22
Core Design Ltd.,Adventure,0.22
Tecmo Koei Games,Adventure,0.22
Ivory Tower,Racing,0.22
Alphadream Corporation,Sports,0.22
"Aspect, Takara Tomy",Action,0.22
Traveller's Tales,Shooter,0.22
Secret Stash Games,Shooter,0.22
SoftMax,Role-Playing,0.22
Rhino Studios,Adventure,0.22
Virtucraft,Platform,0.22
Kadokawa,Role-Playing,0.22
Kodiak Interactive,Action,0.21
Gunnar Games,Puzzle,0.21
Osiris Studios,Fighting,0.21
Destineer,Shooter,0.21
Bullfrog Productions,Shooter,0.21
Fall Line Studio,Action,0.21
Deep Fried Entertainment,Sports,0.21
ThatGameCompany,Adventure,0.21
"Namco Bandai Games, Monkey Bar Games",Platform,0.21
Lucky Chicken,Shooter,0.21
Alpha Unit,Action,0.21
Hydravision,Action,0.21
Digital Fiction,Fighting,0.21
"Deep Silver, Sproing Interactive Media, Sproing",Adventure,0.21
Gimagin Games,Simulation,0.21
WXP,Adventure,0.21
MASA Group,Strategy,0.21
FrontLine Studios,Puzzle,0.21
CokeM Interactive,Adventure,0.21
Phoenix Interactive Entertainment,Misc,0.21
Griptonite Games,Strategy,0.21
3d6 Games,Platform,0.21
Idea Factory,Role-Playing,0.21
Creative Patterns,Simulation,0.21
Tantalus Interactive,Shooter,0.21
Creat Studios,Sports,0.21
EKO Software,Action,0.21
Sun-Tec,Fighting,0.21
Smilebit,Action,0.21
Ubisoft Annecy,Role-Playing,0.2
Slam Games,Puzzle,0.2
Mad Catz,Misc,0.2
Virtuos,Misc,0.2
"Sega, Tom Create",Role-Playing,0.2
Westwood Studios,Adventure,0.2
Mad Doc Software,Simulation,0.2
Impulse Games,Racing,0.2
Torus Games,Platform,0.2
Torus Games,Simulation,0.2
Bec,Simulation,0.2
Studio Saizensen,Action,0.2
Koei,Racing,0.2
Funcom,Role-Playing,0.2
Digital Mayhem,Shooter,0.2
PlatinumGames,Role-Playing,0.2
Zoo Games,Action,0.2
Top Heavy Studios,Misc,0.2
"MicroProse, n-Space",Misc,0.2
"SCEA, Think and Feel",Fighting,0.2
Gaming Minds Studios,Simulation,0.2
BeeWorks,Adventure,0.2
Razorback Developments,Action,0.2
Global A,Role-Playing,0.2
Terminal Reality,Fighting,0.2
Colossal Order,Simulation,0.2
DSI Games,Misc,0.2
Kung Fu Factory,Fighting,0.2
Aspyr,Simulation,0.2
Merscom LLC,Adventure,0.2
Cosmigo,Misc,0.2
"Sanzaru Games, Sanzaru Games, Inc.",Action,0.2
"Omega Force, Koei Canada",Action,0.2
Jet Black Games,Misc,0.2
Atlus Co.,Sports,0.2
"Funatics Software, Funatics",Strategy,0.2
CCP,Role-Playing,0.2
"Ubisoft, Ludia Inc.",Misc,0.19
HotGen,Simulation,0.19
Nordcurrent,Puzzle,0.19
Other Ocean Interactive,Fighting,0.19
THQ,Racing,0.19
Tantalus Interactive,Adventure,0.19
SME Dynamic Systems Limited,Simulation,0.19
Handheld Games,Action,0.19
Light Weight,Action,0.19
Magic Rings,Role-Playing,0.19
Tripwire Interactive,Shooter,0.19
RFX Interactive,Action,0.19
Phoenix Games Studio,Action,0.19
WorkJam,Adventure,0.19
"Artificial Mind and Movement, EA Redwood Shores",Action,0.19
Konami,Puzzle,0.19
The Behemoth,Shooter,0.19
Paradox Development Studio,Strategy,0.19
Novarama,Action,0.19
Cinemaware,Strategy,0.19
"Pipeworks Software, Inc.",Misc,0.19
"Neverland, Idea Factory",Role-Playing,0.19
Arc System Works,Sports,0.19
The Fun Pimps Entertainment LLC,Action,0.19
Pixel Tales,Sports,0.19
Tecmo Koei Canada,Action,0.19
1st Playable Productions,Misc,0.19
Climax Group,Role-Playing,0.19
Micro Cabin,Simulation,0.19
Namco Bandai Games America,Misc,0.19
GCP1,Misc,0.19
Nordic Games Publishing,Racing,0.19
Asylum Entertainment,Adventure,0.19
Jester Interactive,Misc,0.19
Irem,Shooter,0.19
Ganbarion,Adventure,0.19
Independent Arts,Adventure,0.19
BudCat,Shooter,0.19
Skip Ltd.,Adventure,0.19
Game Sauce,Racing,0.19
O-Games,Puzzle,0.18
Coyote Console,Racing,0.18
Opus,Role-Playing,0.18
SCE Japan Studio,Adventure,0.18
Lost Toys,Action,0.18
Konami,Fighting,0.18
City Interactive,Simulation,0.18
SNK Playmore,Shooter,0.18
"Eighting, Takara Tomy",Action,0.18
Brash Entertainment,Misc,0.18
Performance Designed Products,Puzzle,0.18
TOSE,Fighting,0.18
CokeM Interactive,Puzzle,0.18
Scientifically Proven,Action,0.18
Bitmap Brothers,Sports,0.18
Escape,Racing,0.18
Gunnar Games,Adventure,0.18
Altron,Sports,0.18
Panic Button,Simulation,0.18
Backbone Emeryville,Sports,0.18
Jaleco Entertainment,Action,0.18
Empire Oxford,Misc,0.18
Microids,Adventure,0.18
Jack of All Games,Sports,0.18
"Replay Studios, ML Enterprises",Shooter,0.18
Konami Computer Entertainment Hawaii,Sports,0.18
"Torus Games, Little Orbit",Action,0.18
Grasshopper Manufacture,Role-Playing,0.18
Haemimont,Action,0.18
"Valuewave Co.,Ltd.",Role-Playing,0.18
Game Life,Misc,0.18
KING Art,Adventure,0.18
"Team Ninja, Tecmo",Misc,0.18
KCE Studios,Shooter,0.18
"Gust, Idea Factory",Role-Playing,0.18
OneNine Studios,Adventure,0.18
Kronos Digital Entertainment,Action,0.18
Traveller's Tales,Racing,0.18
Vicious Cycle,Action,0.18
D3Publisher,Sports,0.17
Deep Silver,Racing,0.17
Arika,Platform,0.17
Neko Entertainment,Shooter,0.17
Cauldron Ltd.,Misc,0.17
Stalker Entertainment,Shooter,0.17
DMi Games,Sports,0.17
Konami Computer Entertainment Nagoya,Sports,0.17
Acclaim Studios Manchester,Action,0.17
Human Entertainment,Adventure,0.17
Bigbig Studios,Action,0.17
Prope,Misc,0.17
Climax Studios,Action,0.17
Natsume,Puzzle,0.17
Million,Sports,0.17
EKO Software,Misc,0.17
Darkworks,Action,0.17
Sennari Interactive,Sports,0.17
Joindots,Puzzle,0.17
DC Studios,Sports,0.17
Microsoft Game Studios,Strategy,0.17
Microsoft Game Studios,Misc,0.17
Neko Entertainment,Misc,0.17
BioWare,Shooter,0.17
"Blitz Games, Human Soft",Platform,0.17
Griptonite Games,Shooter,0.17
Konami Computer Entertainment Hawaii,Platform,0.17
"Namco Bandai Games, Cellius",Racing,0.17
Nihilistic,Platform,0.17
CokeM Interactive,Sports,0.17
Axis Entertainment,Racing,0.17
Insomniac Games,Action,0.17
Eiconic Games,Puzzle,0.17
TopWare Interactive,Misc,0.17
Stormregion,Strategy,0.16
Storm City Games,Misc,0.16
"Amaze Entertainment, Walt Disney Japan",Simulation,0.16
Ludia,Misc,0.16
Suzak,Racing,0.16
"Atari, Transmission Games, Atari SA",Simulation,0.16
"Omiya Soft, Jamsworks",Role-Playing,0.16
"Sony Online Entertainment, Mind Control Software",Strategy,0.16
Noise Inc.,Fighting,0.16
10tacle Studios,Sports,0.16
Acclaim,Adventure,0.16
Gameinvest,Action,0.16
ArtePiazza,Simulation,0.16
GSC Game World,Shooter,0.16
Acclaim Studios Cheltenham,Action,0.16
BudCat,Strategy,0.16
Ryu ga Gotoku Studios,Adventure,0.16
"Gearbox Software, WayForward",Action,0.16
Immersion Software & Graphics,Fighting,0.16
Monkey Bar Games,Platform,0.16
Hudson Entertainment,Puzzle,0.16
Lucky Chicken,Platform,0.16
Behaviour Interactive,Shooter,0.16
Blue Omega,Shooter,0.16
"Sega, French-Bread",Fighting,0.16
Acclaim,Platform,0.16
Digital Kids,Sports,0.16
"Prope, Kadokawa",Action,0.16
Telltale Games,Action,0.16
Gaming Minds Studios,Strategy,0.16
Carbine Studios,Role-Playing,0.16
Tenky,Adventure,0.16
Most Wanted Entertainment,Puzzle,0.16
Radical Entertainment,Strategy,0.16
Crave,Action,0.16
Marvelous Inc.,Simulation,0.16
Ubisoft Milan,Action,0.16
"Buddiez, Inc.",Puzzle,0.16
Lucas Learning,Racing,0.16
SNK,Fighting,0.16
SuperVillain Studios,Role-Playing,0.16
Namco Bandai Games America,Fighting,0.16
Darkworks,Adventure,0.16
"Asmik Ace Entertainment, Inc",Simulation,0.16
Panic Button,Fighting,0.16
Wizarbox,Adventure,0.16
KCEK,Racing,0.16
"Red Tribe, Brash Entertainment",Platform,0.15
"THQ, Altron",Action,0.15
MumboJumbo,Adventure,0.15
The Game Factory,Misc,0.15
"Genki, Kojima Productions",Action,0.15
Black Ops Entertainment,Shooter,0.15
Little Orbit,Simulation,0.15
Warner Bros. Interactive Entertainment,Action,0.15
Tomy Corporation,Action,0.15
Microids,Action,0.15
Firebrand Games,Misc,0.15
Nordic Games Publishing,Misc,0.15
"Compile Heart, GCREST",Role-Playing,0.15
Prope,Fighting,0.15
DreamFactory,Fighting,0.15
Paradox Development,Action,0.15
Netherock Ltd.,Shooter,0.15
Racjin,Puzzle,0.15
EM Studios,Racing,0.15
Doki Denki,Platform,0.15
Terminal Reality,Misc,0.15
Climax Entertainment,Role-Playing,0.15
Black Ship Games,Fighting,0.15
Broadsword Interactive,Racing,0.15
Hypnos,Action,0.15
Felistella,Role-Playing,0.15
Zombie,Shooter,0.15
"Game Arts, Seta Corporation",Shooter,0.15
EA Redwood Shores,Adventure,0.15
Crawfish Interactive,Fighting,0.15
Le Cortex,Misc,0.15
Ubisoft Bulgaria,Misc,0.15
Aqua Plus,Role-Playing,0.15
UDS,Misc,0.15
"Armature Studio, comcept",Action,0.15
IR Gurus,Action,0.14
Ivory Tower,Action,0.14
Data Design Interactive,Platform,0.14
Empire Interactive,Puzzle,0.14
Culture Brain,Platform,0.14
Game Arts,Simulation,0.14
Coldwood Interactive,Racing,0.14
5TH Cell,Misc,0.14
Bandai,Sports,0.14
Aspyr,Misc,0.14
Full Fat,Misc,0.14
Nicalis,Platform,0.14
Cavia Inc.,Fighting,0.14
Art,Action,0.14
Ntreev Soft,Sports,0.14
DTP Entertainment,Sports,0.14
Black Hole Games,Strategy,0.14
Starsphere Interactive,Simulation,0.14
Epics,Misc,0.14
Magic Pockets,Strategy,0.14
"Spike Chunsoft, Chime",Adventure,0.14
David A. Palmer Productions,Shooter,0.14
Firehazard Studio,Puzzle,0.14
Dorasu,Simulation,0.14
Atomic Planet Entertainment,Misc,0.14
High Voltage Software,Role-Playing,0.14
Amanita Design,Adventure,0.14
Brownie Brown,Strategy,0.14
Appaloosa Interactive,Adventure,0.14
"Aqua Pacific, In2Games",Sports,0.14
FrontLine Studios,Action,0.14
Ubisoft Bulgaria,Adventure,0.14
Tommo,Puzzle,0.14
DC Studios,Shooter,0.14
UFO Interactive,Puzzle,0.14
Sensory Sweep,Sports,0.14
Next Entertainment,Role-Playing,0.14
Fatshark AB,Action,0.14
Astroll,Misc,0.14
"Spark Unlimited, comcept",Action,0.14
Transmission Games,Simulation,0.14
Razorworks Studios,Puzzle,0.14
Capcom,Puzzle,0.14
Totally Games,Role-Playing,0.14
Zoo Games,Puzzle,0.14
"K2, Kurogane",Role-Playing,0.14
Sick Puppies,Puzzle,0.14
"Beenox, Other Ocean Interactive",Action,0.14
"Sandlot Games, Digital Embryo",Simulation,0.14
Smart Bomb Interactive,Racing,0.14
Funcom,Racing,0.14
Saffire,Fighting,0.14
Various,Misc,0.14
EA LA,Strategy,0.14
Omega Force,Role-Playing,0.14
Ubisoft Sofia,Simulation,0.13
Attention Software,Racing,0.13
Phoenix Games Studio,Platform,0.13
Platinum Egg,Puzzle,0.13
"Big Blue Bubble Inc., Scholastic, Inc.",Puzzle,0.13
Dreamcatcher,Puzzle,0.13
Atari,Strategy,0.13
IR Gurus Interactive Ltd.,Simulation,0.13
Smilebit,Sports,0.13
Take-Two Interactive,Strategy,0.13
"Majesco Games, Majesco",Action,0.13
"Venan Entertainment, Cashmere Prod.",Strategy,0.13
Raylight Studios,Action,0.13
Tantatus,Racing,0.13
Coyote Console,Misc,0.13
"Phosphor Games Studio, LLC",Action,0.13
3DO,Platform,0.13
Deadline Games,Shooter,0.13
Freedom Factory Studios,Action,0.13
"Majesco Games, Majesco",Misc,0.13
Taniko,Misc,0.13
Big Blue Bubble Inc.,Shooter,0.13
Hot Lava Games,Puzzle,0.13
"Ubisoft, Moss",Misc,0.13
"Pam Development, 2K Sports",Action,0.13
"Atari, Atari SA",Action,0.13
Premium Agency,Action,0.13
ACOT,Sports,0.13
2K Play,Misc,0.13
Powerhead Games,Adventure,0.13
From Software,Misc,0.13
"Rocksteady Studios, Iron Galaxy Studios",Action,0.13
MTO,Misc,0.13
Rebellion,Puzzle,0.13
Curly Monsters,Racing,0.13
TOSE,Racing,0.13
Neverland,Action,0.13
Syscom,Simulation,0.13
eV Interactive,Sports,0.13
Virtual Air Guitar Company,Action,0.13
Griptonite Games,Racing,0.13
SCEA,Adventure,0.13
GlyphX Games,Action,0.13
Circus Freak,Action,0.13
Exakt,Fighting,0.13
Kokolo Corporation,Misc,0.13
Nfusion,Shooter,0.13
Backbone Entertainment,Simulation,0.13
Big Huge Games,Strategy,0.13
Ubisoft Quebec,Platform,0.13
"Microids, Dreamcatcher",Action,0.13
SCS Software,Action,0.13
Deep Silver,Simulation,0.13
JV Games Inc.,Shooter,0.13
Moss,Shooter,0.13
Cing,Role-Playing,0.13
Sunflowers Interactive,Simulation,0.13
Oxygen Interactive,Puzzle,0.13
Big Ant Studios,Sports,0.13
Torus Games,Sports,0.13
Amaze Entertainment,Fighting,0.12
Take-Two Interactive,Platform,0.12
Double Helix Games,Strategy,0.12
Ubisoft Montreal,Role-Playing,0.12
Tiertex Design Studios,Action,0.12
4J Studios,Action,0.12
Black Ops Entertainment,Adventure,0.12
Namco,Adventure,0.12
Metro,Puzzle,0.12
Access Games,Simulation,0.12
Sanuk Games,Puzzle,0.12
Visual Impact,Shooter,0.12
Beep Industries,Platform,0.12
Microsoft Game Studios,Shooter,0.12
Takara Tomy,Simulation,0.12
Psikyo,Shooter,0.12
puzzle.tv,Puzzle,0.12
Ubisoft Montreal,Strategy,0.12
Destineer,Puzzle,0.12
"Game Arts, Japan Art Media (JAM)",Role-Playing,0.12
"Mindscape Inc., Mindscape",Misc,0.12
Digital Illusions,Adventure,0.12
Novarama,Fighting,0.12
Rising Star Games,Puzzle,0.12
Double Fine Productions,Platform,0.12
Milestone,Racing,0.12
Q-Games,Strategy,0.12
Visual Sciences,Racing,0.12
Gusto Games,Sports,0.12
Dreamcatcher,Misc,0.12
Zoe Mode,Platform,0.12
Zeroscale,Sports,0.12
Dreamcatcher,Adventure,0.12
UDS,Platform,0.12
"MicroProse, n-Space",Action,0.12
Takara,Racing,0.12
Compile Heart,Strategy,0.12
Next Level Games,Shooter,0.12
Nikitova Games,Fighting,0.12
Super X Studios,Simulation,0.12
"Crystal Dynamics, Nixxes Software",Adventure,0.12
Interplay,Role-Playing,0.12
Data Design Interactive,Sports,0.12
Pendulo Studios,Adventure,0.12
RFX Interactive,Shooter,0.12
369 Interactive,Adventure,0.12
Infogrames,Platform,0.12
Little Orbit,Action,0.12
Magic Pockets,Racing,0.12
Zombie Studios,Shooter,0.12
Million,Action,0.12
BIP Games,Simulation,0.12
Warashi,Puzzle,0.12
Maxis,Role-Playing,0.12
Trine Games,Misc,0.12
I-Imagine,Racing,0.12
Wow Entertainment,Action,0.12
Midway Studios - Newcastle,Racing,0.12
Coyote Console,Simulation,0.12
Longtail Studios,Adventure,0.12
Bits Studios,Shooter,0.12
Success,Role-Playing,0.11
Pentavision Entertainment,Misc,0.11
Bandai,Strategy,0.11
Nordcurrent,Sports,0.11
From Software,Shooter,0.11
Happy Happening,Puzzle,0.11
Kando Games,Simulation,0.11
KCE Studios,Simulation,0.11
Takara Tomy,Action,0.11
Atomic Motion,Shooter,0.11
Agatsuma Entertainment,Simulation,0.11
"Artificial Studios, Immersion Software & Graphics",Shooter,0.11
Zed Two Limited,Puzzle,0.11
Void Productions,Adventure,0.11
Full-Fat,Simulation,0.11
Hoplite Research,Adventure,0.11
High Voltage Software,Fighting,0.11
ArenaNet,Role-Playing,0.11
Legacy Interactive,Adventure,0.11
Frame Studios Interactive,Puzzle,0.11
Vanguard,Simulation,0.11
Sensory Sweep,Strategy,0.11
Supersonic Software,Puzzle,0.11
Rage Software,Shooter,0.11
Zoo Games,Simulation,0.11
Eidos Interactive,Simulation,0.11
"Pipeworks Software, Inc.",Puzzle,0.11
PopCap,Adventure,0.11
XPEC Entertainment Inc.,Adventure,0.11
Blue Tongue Entertainment,Adventure,0.11
Behavior Studios,Action,0.11
Vivarium,Misc,0.11
RFX Interactive,Platform,0.11
"EA Tiburon, n-Space",Shooter,0.11
Digital Eclipse,Role-Playing,0.11
Big Blue Entertainment,Shooter,0.11
Bionic Games,Action,0.11
Ubisoft Milan,Shooter,0.11
Tactical Development,Shooter,0.11
Indies Zero,Sports,0.11
Team Fusion,Action,0.11
Mere Mortals,Sports,0.11
Inevitable Entertainment,Misc,0.11
Cavia Inc.,Shooter,0.11
Eidos Interactive,Action,0.11
Digital Embryo,Puzzle,0.11
"Nippon Ichi Software, Hit Maker",Role-Playing,0.11
Prope,Puzzle,0.11
Egosoft,Simulation,0.11
Guerilla Cambridge,Action,0.11
Wideload Games Inc.,Action,0.11
Petroglyph,Strategy,0.11
Microsoft Game Studios Japan,Action,0.11
"Amaze Entertainment, Vivendi Games",Action,0.11
Coyote Developments,Adventure,0.11
Halfbrick Studios,Platform,0.11
"10tacle Studios, Fusionsphere Systems",Adventure,0.11
Polygon Magic,Sports,0.11
Animation Arts,Adventure,0.11
Frima Studio,Strategy,0.11
Kuju Entertainment,Action,0.11
B-Alive,Simulation,0.11
Big Head Games Ltd.,Misc,0.11
Human Head Studios,Shooter,0.11
Santa Entertainment,Adventure,0.11
Neko Entertainment,Racing,0.11
KnowWonder,Action,0.11
ValuSoft,Racing,0.11
VU Games,Racing,0.11
Argonaut Games,Racing,0.11
B.B.Studio,Action,0.1
CCP,Shooter,0.1
Pronto Games,Action,0.1
Direct Action Games,Shooter,0.1
Ivolgamus,Misc,0.1
Papaya Studios,Fighting,0.1
Taito Corporation,Fighting,0.1
"Metanet Software Inc., SilverBirch Studios",Platform,0.1
Arc System Works,Adventure,0.1
Sega AM2,Sports,0.1
SCEE,Simulation,0.1
AQ Interactive,Platform,0.1
Magellan Interactive,Adventure,0.1
Koei/Inis,Sports,0.1
Page 44 Studios,Action,0.1
ImaginEngine,Action,0.1
"RED Entertainment, Compile Heart",Strategy,0.1
"Monolith Soft, Namco Bandai Games",Role-Playing,0.1
Media Vision,Puzzle,0.1
5000ft,Misc,0.1
Sonic Powered,Simulation,0.1
Wicked Witch Software,Sports,0.1
"THQ, AWE Games",Puzzle,0.1
Hudson Soft,Simulation,0.1
Griptonite Games,Puzzle,0.1
SNK Playmore,Strategy,0.1
"Majesco Games, Majesco",Shooter,0.1
Frima Studio,Action,0.1
Nippon Ichi Software,Platform,0.1
Avalanche Software,Shooter,0.1
"Seamless Entertainment, Inc.",Sports,0.1
Digital Extremes,Action,0.1
Epicenter Studios,Shooter,0.1
Clockwork Games,Racing,0.1
SNK,Shooter,0.1
Bandai Namco Games,Racing,0.1
Arts Software,Action,0.1
InXile Entertainment,Puzzle,0.1
Conspiracy Entertainment,Action,0.1
Santa Cruz Games,Adventure,0.1
Backbone Entertainment,Sports,0.1
Tecmo,Role-Playing,0.1
"Eutechnyx, Deep Silver",Racing,0.1
Kemco,Misc,0.1
Bam Entertainment,Shooter,0.1
DTP Entertainment,Adventure,0.1
Cave,Misc,0.1
LucasArts,Adventure,0.1
Visual Impact,Platform,0.1
Moss,Puzzle,0.1
Knowledge Adventure Inc.,Misc,0.1
Sega,Puzzle,0.1
Virtuos,Shooter,0.1
Whitebear,Puzzle,0.1
Playrix Entertainment,Puzzle,0.1
"Deep Silver, Keen Games",Role-Playing,0.1
"Joindots, Mastertronic",Puzzle,0.1
Jack of All Games,Racing,0.1
Petroglyph,Action,0.1
8Monkey Labs,Shooter,0.1
"Activision, Traveller's Tales",Misc,0.09
"Jack of All Games, eV Interactive",Sports,0.09
Silicon Dreams,Action,0.09
Xpec,Role-Playing,0.09
Idea Factory,Adventure,0.09
"Majesco Games, Majesco",Simulation,0.09
Midway,Platform,0.09
"Ambrella, The Pokemon Company",Action,0.09
Art,Role-Playing,0.09
Infinite Machine,Action,0.09
The Game Factory,Action,0.09
Dusenberry Martin Racing,Racing,0.09
Aqua Pacific,Sports,0.09
Purple Hills,Puzzle,0.09
"Milestone, Milestone S.r.l",Racing,0.09
G1M2,Misc,0.09
"GameMill Publishing, 1st Playable Productions",Adventure,0.09
CI Games,Shooter,0.09
SCE Studio Cambridge,Action,0.09
Aki Corp.,Action,0.09
Frame Studios Interactive,Platform,0.09
Krome Studios,Sports,0.09
BudCat,Platform,0.09
Natsume,Role-Playing,0.09
Nippon Ichi Software,Adventure,0.09
"Entersphere, Inc.",Action,0.09
DC Studios,Puzzle,0.09
S-Neo,Sports,0.09
Realmforge Studios,Strategy,0.09
Hitmaker,Action,0.09
Hudson Entertainment,Sports,0.09
"EA Canada, Exient Entertainment",Sports,0.09
Gravity-I,Puzzle,0.09
Quicksilver Software,Strategy,0.09
505 Games,Action,0.09
SunSoft,Puzzle,0.09
Sensory Sweep,Role-Playing,0.09
Sonic Team,Action,0.09
Genki,Strategy,0.09
5TH Cell,Strategy,0.09
EA Tiburon,Puzzle,0.09
Digital Embryo,Sports,0.09
Zed Two Limited,Strategy,0.09
Takara Tomy,Strategy,0.09
odenis studio,Strategy,0.09
505 Games,Sports,0.09
Zushi Games Ltd,Misc,0.09
EKO Software,Sports,0.09
1C: Maddox Games,Simulation,0.09
ProSoft,Shooter,0.09
"Crave, DTP Entertainment",Misc,0.09
"Atari, Atari SA",Misc,0.09
Sarbakan Inc.,Strategy,0.09
"Activision, Activision Blizzard",Simulation,0.09
iRock Interactive,Shooter,0.09
3d6 Games,Action,0.09
"Mastertronic, V5 Play Studio",Puzzle,0.09
Secret Level,Misc,0.09
"SCE/WWS, SCE Japan Studio",Puzzle,0.09
Starfish,Puzzle,0.09
Indi,Strategy,0.09
Big Blue Bubble Inc.,Role-Playing,0.09
RED Entertainment,Action,0.09
Avanquest Software,Adventure,0.09
Altron,Platform,0.09
BattleBorne,Shooter,0.09
Tabot,Sports,0.09
Rockstar Leeds,Misc,0.09
SouthPeak Games,Simulation,0.09
Konami Computer Entertainment Hawaii,Fighting,0.09
Housemarque,Sports,0.09
Metro3D,Role-Playing,0.09
Mobius Entertainment,Action,0.09
"TimeGate Studios, Day 1 Studios",Shooter,0.09
Neko Entertainment,Fighting,0.09
Razorworks,Puzzle,0.09
Renegade Kid,Racing,0.08
Crave,Fighting,0.08
Maximum Family Games,Puzzle,0.08
Codemasters,Action,0.08
Silicon Dreams,Sports,0.08
Kheops Studio,Puzzle,0.08
Data Design Interactive,Action,0.08
Stormfront Studios,Role-Playing,0.08
Razorback Developments,Misc,0.08
Foundation 9 Entertainment,Platform,0.08
Mid Carolina Media,Sports,0.08
Wicked Studios,Role-Playing,0.08
Polygon Magic,Action,0.08
Massive Entertainment,Strategy,0.08
Amusement Vision,Role-Playing,0.08
MileStone Inc.,Shooter,0.08
Telenet,Sports,0.08
Graphic State,Shooter,0.08
Engine Software,Puzzle,0.08
Extra Mile Studios,Racing,0.08
Marvelous,Fighting,0.08
Klein Computer Entertainment,Action,0.08
"EA Canada, Sensory Sweep",Fighting,0.08
2K Games,Racing,0.08
Tectonic Studios,Action,0.08
Icon Games,Racing,0.08
Gulti,Shooter,0.08
Core Design Ltd.,Puzzle,0.08
Osaka Studio,Simulation,0.08
