Developer,Genre,Total_Global_Sales
THQ,Fighting,4.13
BudCat,Misc,4.12
Black Rock Studio,Racing,4.11
PopCap,Shooter,4.08
Full Fat,Simulation,4.07
Artoon,Platform,4.05
Magic Pockets,Simulation,4.05
Tango Gameworks,Action,4.03
"Spike, Namco Bandai Games",Fighting,4.02
EA Redwood Shores,Simulation,4.02
Indies Zero,Misc,4.01
Creative Assembly,Strategy,4
Ninja Theory,Action,3.97
"Z-Axis, Ltd.",Sports,3.97
Nintendo,Strategy,3.94
Namco Bandai Games,Fighting,3.94
Reflections Interactive,Racing,3.92
Rockstar Studios,Shooter,3.9
Artificial Mind and Movement,Platform,3.9
Ubisoft,Shooter,3.89
Sucker Punch,Platform,3.85
"SCEA, Zindagi Games",Sports,3.84
"Nintendo, Namco Bandai Games",Misc,3.83
Eurocom Entertainment Software,Misc,3.8
Namco,Action,3.79
Milestone S.r.l,Racing,3.78
Camelot Software Planning,Role-Playing,3.76
Acclaim Studios Cheltenham,Racing,3.75
Blizzard Entertainment,Shooter,3.73
EA Vancouver,Racing,3.73
Black Box,Action,3.73
EA Games,Racing,3.72
Intelligent Systems,Platform,3.71
Insomniac Games,Platform,3.71
Ludia Inc.,Misc,3.69
Free Radical Design,Shooter,3.68
Edge of Reality,Simulation,3.68
Square Enix,Sports,3.68
Cavia Inc.,Action,3.67
BioWare,Action,3.67
Rockstar Leeds,Racing,3.65
Media Molecule,Platform,3.65
Dreamworks Interactive,Shooter,3.64
Angel Studios,Racing,3.6
Snowblind Studios,Role-Playing,3.59
Disney Interactive Studios,Misc,3.58
Office Create,Simulation,3.58
High Moon Studios,Action,3.57
HB Studios Multimedia,Sports,3.56
Intelligent Systems,Puzzle,3.55
Codemasters Birmingham,Racing,3.55
Team Soho,Action,3.54
Terminal Reality,Action,3.54
SCEA,Sports,3.53
Certain Affinity,Shooter,3.51
MachineGames,Shooter,3.5
Bizarre Creations,Racing,3.49
Paradigm Entertainment,Racing,3.49
Toys for Bob,Platform,3.49
SCE Japan Studio,Platform,3.48
Ubisoft Montpellier,Misc,3.46
Agenda,Misc,3.45
2K Czech,Action,3.44
"Luxoflux, Inc.",Platform,3.43
Krome Studios,Platform,3.41
Ensemble Studios,Strategy,3.39
Blitz Games,Misc,3.35
Namco,Role-Playing,3.33
Helixe,Action,3.32
Rockstar Toronto,Shooter,3.31
syn Sophia,Simulation,3.31
CAProduction,Sports,3.3
2K Sports,Sports,3.29
Neverland,Role-Playing,3.29
"Splash Damage, The Coalition",Shooter,3.28
Grasshopper Manufacture,Action,3.26
Sony Bend,Shooter,3.26
