Name,Year_of_Release,Global_Sales,User_Score,Critic_Score
FIFA Street,2005,0.31,7.9,59
Monster Lab,2008,0.31,8.4,73
Fate/Extra,2010,0.31,8.1,58
Drakengard 3,2013,0.31,7.7,61
Catherine,2011,0.31,7.9,82
The Matrix: Path of Neo,2005,0.31,7.3,73
Bust-A-Move Universe,2011,0.31,4.8,49
Mortal Kombat: Shaolin Monks,2005,0.31,6.6,78
Batman: Arkham Origins,2013,0.31,7.4,68
Shin Megami Tensei: Devil Survivor 2,2011,0.31,8.8,79
Sonic Boom: Rise of Lyric,2014,0.31,3.6,32
The Settlers 7: Paths to a Kingdom,2010,0.31,5.2,79
WipEout Pulse,2007,0.31,8.6,82
The Legend of Spyro: Dawn of the Dragon,2008,0.31,7.2,62
Fuel,2009,0.31,7,66
Tropico 5,2015,0.31,7.1,76
KISS Pinball,2001,0.31,3.8,26
Brothers In Arms: Earned in Blood,2005,0.31,8.6,85
LEGO Legends of Chima: Laval's Journey,2013,0.31,3.6,65
Skylanders: SuperChargers,2015,0.31,3.3,81
Dark Void,2010,0.31,6,59
Manhunt 2,2007,0.31,8.1,69
Mega Man Maverick Hunter X,2005,0.31,8.3,79
Clash of the Titans,2010,0.31,1.7,41
Mega Man Battle Network 2,2002,0.31,9,81
Major League Baseball 2K8,2008,0.31,5.6,67
Pandora's Tower,2011,0.31,8,73
SimAnimals,2009,0.31,2.1,58
Tiger Woods PGA Tour 06,2005,0.31,7.4,71
Jonah Lomu Rugby Challenge,2011,0.31,6,73
Midway Arcade Treasures 2,2004,0.31,7.4,74
NASCAR Thunder 2003,2002,0.31,6.6,85
Mega Man Zero Collection,2010,0.31,8.9,78
Pro Evolution Soccer 2013,2012,0.31,6.9,82
Star Wars Racer Revenge,2002,0.31,8.5,73
NCAA Final Four 2002,2001,0.31,6.5,52
Blade II,2002,0.31,6.1,49
TRON: Evolution,2010,0.31,6,58
Bruce Lee: Quest of the Dragon,2002,0.31,2.4,32
Disney's The Emperor's New Groove,2000,0.31,7.2,66
Dragon Ball Z: Battle of Z,2014,0.31,5.3,54
Disney's Stitch: Experiment 626,2002,0.31,7.8,59
Orphen: Scion of Sorcery,2000,0.31,5.8,54
NBA Live 08,2007,0.31,6.2,73
Star Wars Episode III: Revenge of the Sith,2005,0.3,7.8,73
Ultimate Spider-Man,2005,0.3,7.3,62
Midtown Madness 3,2003,0.3,8.3,76
Shrek Swamp Kart Speedway,2002,0.3,8.9,27
Contra 4,2007,0.3,8.4,83
Spyro: Attack of the Rhynocs,2003,0.3,7.5,72
Monsters vs. Aliens,2009,0.3,4.5,66
NASCAR 2011: The Game,2011,0.3,4.1,62
BlazBlue: Chrono Phantasma,2013,0.3,8.3,83
Kingdoms of Amalur: Reckoning,2012,0.3,6.6,81
Mario Party: Star Rush,2016,0.3,6.8,68
Burnout,2002,0.3,7.9,78
Chaos Legion,2003,0.3,8.2,65
Charlie and the Chocolate Factory,2005,0.3,3.8,36
Neopets: The Darkest Faerie,2005,0.3,8.5,61
Naruto Shippuden: Ultimate Ninja Storm 4,2016,0.3,8.5,81
Batman: Arkham VR,2016,0.3,7.3,75
24: The Game,2006,0.3,8.2,62
The King of Fighters XIII,2011,0.3,8.2,77
Tom Clancy's Splinter Cell 3D,2011,0.3,5.5,53
Magna Carta 2,2009,0.3,7,69
Romance of the Three Kingdoms VIII,2002,0.3,8.9,77
F1 2013,2013,0.3,6.6,79
Crazy Taxi: Catch a Ride,2003,0.3,5.9,48
Final Fantasy XI: Wings of the Goddess,2007,0.3,5.8,63
PowerUp Heroes,2011,0.3,7.5,61
Rayman 2: Revolution,2000,0.3,8.2,90
One Piece Unlimited Cruise SP,2011,0.3,7.3,46
Madden NFL 13,2012,0.3,7.3,63
Army Men: Air Attack 2,2000,0.3,5.3,74
Stranglehold,2007,0.3,7.9,77
Pride FC: Fighting Championships,2003,0.3,8.6,73
Eternal Ring,2000,0.3,5.3,62
Resident Evil Archives: Resident Evil,2008,0.3,8.9,76
Dynasty Warriors 6,2007,0.3,7.4,60
Silent Hill: Shattered Memories,2010,0.3,7.5,73
Dance Dance Revolution Universe 3,2008,0.3,7.7,65
Showdown: Legends of Wrestling,2004,0.3,6.1,55
Sword Art Online: Hollow Fragment,2014,0.3,7.6,67
Full Spectrum Warrior,2005,0.3,8,74
The Sims 2: Pets,2006,0.3,8,68
Fist of the North Star: Ken's Rage 2,2012,0.3,7,49
MLB SlugFest Loaded,2004,0.3,9.5,77
Teenage Mutant Ninja Turtles,2003,0.3,8.4,56
Capcom Classics Collection Remixed,2006,0.3,7,72
1701 A.D.,2006,0.3,8.3,79
Lego Star Wars: The Force Awakens,2016,0.3,7,76
Little Deviants,2011,0.3,5.5,57
Spider-Man 3,2007,0.3,7.4,52
AMF Bowling 2004,2003,0.3,4.4,48
Radiant Historia,2010,0.29,9,85
Sorcery,2012,0.29,7.3,70
Harry Potter and the Order of the Phoenix,2007,0.29,6.8,68
Grandia II,2002,0.29,8.6,71
Shaun White Snowboarding: World Stage,2009,0.29,8.7,72
Spider-Man: Friend or Foe,2007,0.29,6.3,60
Guitar Hero: Van Halen,2009,0.29,5.8,57
Batman: The Brave and the Bold the Videogame,2010,0.29,8,74
The Sims 2,2004,0.29,8.8,90
Need for Speed Underground,2003,0.29,8.2,77
Def Jam Rapstar,2010,0.29,5.4,74
Outlaw Golf,2002,0.29,6.9,72
MySims SkyHeroes,2010,0.29,5.2,67
Mini Ninjas,2009,0.29,8.4,73
NBA Street V3,2005,0.29,8.4,88
WinBack: Covert Operations,2000,0.29,7.7,66
Syphon Filter: Dark Mirror,2006,0.29,9,87
Glory of Heracles,2008,0.29,7.3,69
Up,2009,0.29,6.8,61
Modnation Racers: Road Trip,2012,0.29,6.4,62
NBA Live 06,2005,0.29,5.6,64
ExerBeat,2010,0.29,7.6,60
Need for Speed: Most Wanted,2005,0.29,8.5,82
Front Mission Evolved,2010,0.29,6,58
Ultimate Marvel vs. Capcom 3,2011,0.29,7.7,80
Little King's Story,2009,0.29,8.8,87
Dynasty Warriors: Strikeforce,2009,0.29,7.3,64
NieR,2010,0.29,8.3,67
Zoo Tycoon 2 DS,2008,0.29,5.4,60
Area 51,2005,0.29,8.1,72
Deadpool,2015,0.29,5.7,60
UEFA Euro 2016,2016,0.29,6.6,72
Wanted: Weapons of Fate,2009,0.29,7.1,61
Mega Man X8,2004,0.29,8.5,68
The Chronicles of Riddick: Assault on Dark Athena,2009,0.29,8.2,82
Ford Mustang: The Legend Lives,2005,0.29,7.3,58
FlatOut: Head On,2008,0.29,8.2,74
Duel Masters: Sempai Legends,2003,0.29,8,69
Harvest Moon: Magical Melody,2008,0.29,8.8,69
Heroes of the Pacific,2005,0.29,8.4,76
Prince of Persia: Rival Swords,2007,0.29,7.7,70
The Lord of the Rings: The Third Age,2004,0.29,7.8,74
Trace Memory,2005,0.29,8.1,70
X-Men Legends II: Rise of Apocalypse,2005,0.29,8.2,84
Borderlands: The Pre-Sequel,2014,0.29,6.2,75
Madden NFL 08,2007,0.29,6,76
Trauma Center: New Blood,2007,0.29,8,77
Starhawk,2012,0.29,7.8,77
Pirates of the Caribbean,2003,0.29,7.4,65
FIFA Soccer 13,2012,0.29,3.7,68
Ace Combat: Joint Assault,2010,0.29,7.2,71
The BIGS 2,2009,0.29,8.5,68
Turning Point: Fall of Liberty,2008,0.29,6.8,43
Sonic Boom: Shattered Crystal,2014,0.29,6.3,47
Shrek Super Party,2002,0.29,5.1,30
MLB Power Pros,2007,0.29,8.4,83
"Sakura Wars: So Long, My Love",2005,0.29,7.3,81
Dynasty Tactics,2002,0.29,8.1,79
Call of Juarez: The Cartel,2011,0.29,5.5,45
Angry Birds Star Wars,2013,0.29,3.6,49
Metal Gear Solid V: Ground Zeroes,2014,0.29,5.4,76
SimCity 4,2003,0.29,8.7,84
Puzzle Quest: Challenge of the Warlords,2007,0.29,6.2,71
Disgaea 5: Alliance of Vengeance,2015,0.29,8.1,80
Sengoku Basara: Samurai Heroes,2010,0.29,8.8,65
Rayman 3: Hoodlum Havoc,2003,0.29,8.6,76
Warriors Orochi 2,2008,0.29,7.5,56
Feel the Magic XY/XX,2004,0.29,8.1,75
Psi-Ops: The Mindgate Conspiracy,2004,0.29,8.9,84
Dead Rising: Chop Till You Drop,2009,0.29,6.5,61
Spyro: A Hero's Tail,2004,0.29,8.3,62
NASCAR 08,2007,0.29,5.2,59
World of Tanks,2011,0.29,3.7,80
Links 2004,2003,0.29,9,80
Majin and the Forsaken Kingdom,2010,0.29,7.9,72
Assassin's Creed IV: Black Flag,2013,0.29,7.7,86
Earthworm Jim,2001,0.29,5.7,72
Tales of Phantasia,2003,0.29,8.1,76
Monster 4x4: Masters of Metal,2003,0.28,8.3,48
Dragon Ball GT: Transformation,2005,0.28,8.2,69
FIFA 15,2014,0.28,4.2,82
The Warriors,2005,0.28,8.2,85
Shadow Hearts,2001,0.28,8.8,73
Dragon Ball Z: Budokai Tenkaichi 2,2006,0.28,8.5,72
Street Hoops,2002,0.28,8,58
R: Racing Evolution,2003,0.28,6.2,66
The Golden Compass,2007,0.28,4.8,40
ATV Quad Power Racing 2,2003,0.28,9,70
Hatsune Miku: Project Diva f,2013,0.28,8.4,73
Marvel Nemesis: Rise of the Imperfects,2005,0.28,7.5,58
Final Fantasy VI Advance,2006,0.28,8.4,92
LEGO The Lord of the Rings,2012,0.28,5.6,54
Viewtiful Joe,2004,0.28,8.5,90
DeathSmiles,2009,0.28,8.4,76
Fable: The Journey,2012,0.28,4.8,61
Bladestorm: The Hundred Years' War,2007,0.28,7.9,58
SAW,2009,0.28,7.4,59
Chromehounds,2006,0.28,7,71
Harry Potter and the Sorcerer's Stone,2003,0.28,7.6,56
Kung Fu Chaos,2003,0.28,8.5,68
Shrek the Third,2007,0.28,6.7,57
Jackass the Game,2007,0.28,6.6,58
Pirates of the Caribbean: Dead Man's Chest,2006,0.28,8,52
Operation Flashpoint: Red River,2011,0.28,6.1,69
Transformers: Dark of the Moon,2011,0.28,6.7,59
Surf's Up,2007,0.28,7,56
Assassin's Creed II: Discovery,2009,0.28,7.3,69
Syphon Filter: Dark Mirror,2007,0.28,7.8,70
Mission: Impossible - Operation Surma,2003,0.28,7.8,64
MLB 07: The Show,2007,0.28,7.2,82
Driver: Parallel Lines,2006,0.28,6.9,69
Mega Man ZX,2006,0.28,8.3,76
Backyard Wrestling 2: There Goes the Neighborhood,2004,0.28,4.7,46
Guitar Hero: Van Halen,2009,0.28,5.2,50
Dead or Alive,1998,0.28,8.6,84
Dead to Rights: Retribution,2010,0.28,5.9,60
Wild ARMs 5,2006,0.28,7.5,71
NFL Blitz 20-02,2002,0.28,8.9,76
El Shaddai: Ascension of the Metatron,2011,0.28,7.5,78
Tony Hawk: Shred,2010,0.28,6.7,56
NCAA March Madness 2005,2004,0.28,7.8,80
Kenka Bancho: Badass Rumble,2008,0.28,7.5,70
Silent Hill 2: Restless Dreams,2001,0.28,8.3,84
NES Remix,2014,0.28,7.1,71
Bass Strike,2001,0.28,5.8,57
NHL Hitz 20-03,2002,0.28,8.4,82
Bionic Commando,2009,0.28,7.3,70
Monopoly Streets,2010,0.28,6.6,66
Trivial Pursuit,2009,0.28,7.1,66
Medieval Moves: Deadmund's Quest,2011,0.28,6.5,61
Mister Mosquito,2001,0.28,4.9,65
Rugby World Cup 2011,2011,0.28,3.9,55
Virtua Fighter 5 Online,2007,0.28,7.6,89
Indiana Jones and the Staff of Kings,2009,0.28,7.5,55
Angry Birds Star Wars,2013,0.28,5.6,59
Dave Mirra Freestyle BMX 2,2001,0.28,7.7,78
One Piece: Unlimited World Red,2014,0.28,7.3,71
True Crime: New York City,2005,0.28,7.8,60
Summer Heat Beach Volleyball,2003,0.28,7.7,65
Avatar: The Last Airbender,2006,0.28,5.8,56
Castlevania: Aria of Sorrow,2003,0.28,9.1,91
Myst III: Exile,2002,0.28,7,57
Shin Megami Tensei: Strange Journey,2009,0.28,8.7,80
Army of Two: The Devil's Cartel,2013,0.28,6.7,58
Patapon 3,2011,0.27,7.2,74
Ice Age: Dawn of the Dinosaurs,2009,0.27,8.3,75
Tao Feng: Fist of the Lotus,2003,0.27,6.5,65
Guitar Hero: Van Halen,2009,0.27,4.7,59
Dragon Ball Z: Budokai 2,2004,0.27,5.8,66
Over the Hedge,2006,0.27,6.4,71
Siren: Blood Curse,2008,0.27,8.1,78
NHL Hitz 20-02,2001,0.27,8.7,79
GRID 2,2013,0.27,5.8,78
Evil Dead: Hail to the King,2000,0.27,6,51
Need for Speed: The Run,2011,0.27,3.6,64
Dave Mirra Freestyle BMX: Maximum Remix,2001,0.27,8.1,67
The Evil Within,2014,0.27,5.9,68
Rock Revolution,2008,0.27,5.1,38
Dead Rising 2: Off the Record,2011,0.27,7.5,72
WWII Aces,2008,0.27,5.4,41
Athens 2004,2004,0.27,7.2,61
Pro Race Driver,2002,0.27,8.5,81
Baten Kaitos: Eternal Wings and the Lost Ocean,2003,0.27,9,80
Iron Man 2,2010,0.27,5.9,41
Rocky: Legends,2004,0.27,8.6,65
The Warriors,2007,0.27,7.8,81
RalliSport Challenge 2,2004,0.27,9.1,87
Pac-Pix,2005,0.27,7.1,71
F1 Race Stars,2012,0.27,5.7,64
Sing Party,2012,0.27,5.4,60
NHL 07,2006,0.27,5.3,79
RollerCoaster Tycoon 3,2004,0.27,5,81
Ty the Tasmanian Tiger,2002,0.27,8.7,69
WWE Road to WrestleMania X8,2002,0.27,7.5,73
Fullmetal Alchemist 2: Curse of the Crimson Elixir,2004,0.27,8.4,67
NASCAR 06: Total Team Control,2005,0.27,5.9,79
BloodRayne 2,2004,0.27,8.5,70
Rory McIlroy PGA Tour,2015,0.27,4.3,60
The Club,2008,0.27,6.8,76
NHL 2002,2001,0.27,8.8,89
LEGO The Hobbit,2014,0.27,6.8,69
Lightning Returns: Final Fantasy XIII,2013,0.27,6.6,69
Shadow of Rome,2005,0.27,8.3,75
NASCAR 2011: The Game,2011,0.27,3.7,62
Harry Potter and the Order of the Phoenix,2007,0.27,8,61
Transformers: Cybertron Adventures,2010,0.27,6.5,41
Stuntman: Ignition,2007,0.27,6.4,71
NHL 2K11,2010,0.27,5.8,62
Fantastic 4,2005,0.27,6.6,62
MotoGP,2000,0.27,6,77
Batman: Arkham Origins Blackgate,2013,0.27,6.8,68
Shadows of the Damned,2011,0.27,8.1,77
R.U.S.E.,2010,0.27,8.1,76
NBA Live 2004,2003,0.27,9,84
Reign of Fire,2002,0.27,7,56
The Sims 2: Pets,2006,0.27,7.3,66
Ultimate NES Remix,2014,0.27,7.6,69
Tropico 4,2011,0.27,7.7,78
The BIGS,2007,0.27,8.4,79
Jurassic Park: Operation Genesis,2003,0.27,8.9,75
Knockout Kings 2002,2002,0.27,7.9,78
InuYasha: Feudal Combat,2005,0.27,8.3,52
R.U.S.E.,2010,0.27,7,78
Duel Masters,2004,0.27,8.3,66
MotionSports: Adrenaline,2011,0.27,7.4,41
NBA 07,2006,0.27,6.3,63
Call of Juarez: The Cartel,2011,0.27,5.7,47
My Japanese Coach,2008,0.27,6.7,59
Need for Speed: Most Wanted,2005,0.27,6.1,45
Section 8,2009,0.27,7.3,69
ESPN NBA Basketball,2003,0.27,8.2,87
Lowrider,2002,0.26,8.4,46
Family Guy: Back to the Multiverse,2012,0.26,6.4,40
All-Pro Football 2K8,2007,0.26,6.8,75
Fish Tycoon,2007,0.26,7,46
Plants vs. Zombies,2010,0.26,8.2,89
Batman: Return to Arkham,2016,0.26,8.5,73
Rune: Viking Warlord,2001,0.26,7.3,53
The Incredible Hulk,2008,0.26,6.4,55
Panzer Dragoon Orta,2002,0.26,8.5,90
America's Test Kitchen: Let's Get Cooking,2010,0.26,5.6,87
Suikoden Tierkreis,2008,0.26,7.4,76
Superman Returns,2006,0.26,6.2,51
Shin Megami Tensei: Devil Survivor,2009,0.26,8.8,84
Tearaway Unfolded,2015,0.26,8.1,81
MLB SlugFest 2006,2006,0.26,7.5,56
Etrian Odyssey II: Heroes of Lagaard,2008,0.26,8.9,82
The Incredible Hulk,2008,0.26,6.8,55
Deadly Premonition,2010,0.26,8.2,68
Ford Racing 3,2004,0.26,6.6,50
The Adventures of Tintin: The Game,2011,0.26,5.7,59
Dragon Ball Z: Tenkaichi Tag Team,2010,0.26,8.6,63
Etrian Odyssey Untold: The Millennium Girl,2013,0.26,8.2,80
Final Fantasy V Advance,2006,0.26,7.2,83
Star Wars: Bounty Hunter,2002,0.26,7.6,67
Dynasty Warriors 7: Xtreme Legends,2011,0.26,7.8,64
Naruto: Ultimate Ninja Heroes,2006,0.26,6.6,70
Angry Birds Trilogy,2012,0.26,3.5,63
Major League Baseball 2K9,2009,0.26,4.5,61
WWE 2K17,2016,0.26,5.5,68
Battlestations: Midway,2007,0.26,7.1,73
Riding Spirits,2002,0.26,9,59
Project CARS,2015,0.26,5.8,81
MLB 09: The Show,2009,0.26,6.9,78
Bust A Groove 2,1999,0.26,8.9,66
Inazuma Eleven Strikers,2011,0.26,7.9,59
Armored Core: Nexus,2004,0.26,8.7,73
Evolution Skateboarding,2002,0.26,6.7,44
Outlaw Volleyball,2003,0.26,8.4,77
Batman: Vengeance,2001,0.26,5.8,70
Spider-Man: Web of Shadows,2008,0.26,7.9,67
Legaia 2: Duel Saga,2001,0.26,8.4,67
Crash Nitro Kart,2003,0.26,7.4,66
ExciteBots: Trick Racing,2009,0.26,8.6,77
Oddworld: Stranger's Wrath,2005,0.26,9.1,88
King of Fighters: Maximum Impact,2004,0.26,6.9,64
Atelier Ayesha: The Alchemist of Dusk,2012,0.26,6.6,70
Battleborn,2016,0.26,6.8,68
Drakan: The Ancients' Gates,2002,0.26,9,78
Resident Evil: Revelations,2013,0.26,7.4,75
Tony Hawk: Shred,2010,0.26,6.6,53
Tokyo Jungle,2012,0.26,8.4,74
Army of Two: The Devil's Cartel,2013,0.26,6.2,54
Puppeteer,2013,0.26,8.5,80
Tom Clancy's Splinter Cell: Double Agent,2007,0.26,6.5,78
Resident Evil: Deadly Silence,2006,0.26,8.4,71
Legendary,2008,0.26,7.1,47
Peter Jackson's King Kong: The Official Game of the Movie,2005,0.26,7.5,80
Rayman DS,2005,0.26,7.6,58
All-Star Baseball 2003,2002,0.26,8.1,79
MTX Mototrax,2004,0.26,8.1,77
NBA ShootOut 2004,2003,0.26,7.8,58
Nancy Drew: The Mystery of the Clue Bender Society,2008,0.26,3.6,46
Castlevania: Harmony of Dissonance,2002,0.26,8.2,87
Formula One 2001,2001,0.26,6,73
Pirates of the Caribbean: Dead Man's Chest,2006,0.26,8.6,63
Baldur's Gate: Dark Alliance II,2004,0.26,7.9,77
Madden NFL 2005,2004,0.26,7.7,68
MVP Baseball 2004,2004,0.26,8.5,89
Polarium,2004,0.26,8.4,73
Super Street Fighter II: Turbo Revival,2001,0.25,7.4,84
Secret Weapons Over Normandy,2003,0.25,8.8,77
The Elder Scrolls IV: Oblivion,2006,0.25,8.1,94
Metroid Prime Pinball,2005,0.25,7.9,79
Teen Titans,2006,0.25,8.6,56
Bomberman Generation,2002,0.25,8.5,81
Sega Rally Revo,2007,0.25,7.2,74
Surfing H3O,2000,0.25,4.6,46
NASCAR 09,2008,0.25,7.8,69
NASCAR 09,2008,0.25,7.5,65
Game of Thrones,2012,0.25,5.2,52
Silent Hunter 5: Battle of the Atlantic,2010,0.25,3.5,62
Amped 2,2003,0.25,7.7,80
Final Fantasy Crystal Chronicles: Echoes of Time,2009,0.25,5.6,64
NHL 08,2007,0.25,6.9,86
The Legend of Legacy,2015,0.25,7.1,67
Juiced 2: Hot Import Nights,2007,0.25,6.4,71
WipEout XL,1996,0.25,8.7,93
LEGO Star Wars III: The Clone Wars,2011,0.25,7.5,76
The Powerpuff Girls: Chemical X-Traction,2001,0.25,6.3,30
Dead or Alive Xtreme 2,2006,0.25,6.7,53
PlayStation VR Worlds,2016,0.25,7.1,59
Hunted: The Demon's Forge,2011,0.25,6.2,57
Men of Valor,2004,0.25,8,73
Medal of Honor European Assault,2005,0.25,7.9,71
Billy Hatcher and the Giant Egg,2003,0.25,8.7,71
NHL 08,2007,0.25,8.2,85
WipEout Fusion,2002,0.25,8.5,83
Prison Break: The Conspiracy,2010,0.25,3.8,42
NHL 06,2005,0.25,8.4,79
Anno 2205,2015,0.25,5.9,72
Ultimate Fighting Championship,2000,0.25,7.4,53
XIII,2003,0.25,8.3,74
Up,2009,0.25,6.5,65
Michael Jackson: The Experience,2010,0.25,6.6,64
MotoGP '07,2007,0.25,7.3,78
Cars,2006,0.25,6.1,65
Hatsune Miku: Project Diva F 2nd,2014,0.25,8.6,78
Need for Speed Rivals,2013,0.25,3.3,76
The Mummy: Tomb of the Dragon Emperor,2008,0.25,6.8,38
Def Jam Vendetta,2003,0.25,8.5,81
The Sims 2,2005,0.25,7.1,75
Spider-Man: Web of Shadows,2008,0.25,6.9,63
The Bureau: XCOM Declassified,2013,0.25,6.7,69
World Series Baseball 2K3,2003,0.25,8.7,87
Tony Hawk's Proving Ground,2007,0.25,6.2,57
Indiana Jones and the Staff of Kings,2009,0.25,7.8,63
The Outfit,2006,0.25,7.5,70
Don King Presents: Prizefighter,2008,0.25,6.4,56
Devil Kings,2005,0.25,7.4,64
Bolt,2008,0.25,7.1,57
Spider-Man: Edge of Time,2011,0.25,6.8,57
L.A. Noire: The Complete Edition,2011,0.25,7.9,83
Dynasty Warriors 6,2008,0.25,5.4,43
America's Army: Rise of a Soldier,2005,0.25,7.4,70
Grandia,1999,0.25,6.6,89
Pirates of the Caribbean: The Legend of Jack Sparrow,2006,0.25,7.5,51
"Ed, Edd n Eddy: The Mis-Edventures",2005,0.25,7.9,55
Armored Core 4,2007,0.25,7.2,65
SBK Superbike World Championship,2008,0.25,6.1,59
Indiana Jones and the Staff of Kings,2009,0.25,6.8,50
X-Men Origins: Wolverine,2009,0.25,6.1,53
Disgaea 2: Dark Hero Days,2009,0.25,7.1,83
Major League Baseball 2K7,2007,0.25,4.7,74
Final Fantasy XI: Chains of Promathia,2004,0.25,8,77
The Chronicles of Riddick: Assault on Dark Athena,2009,0.25,7.7,80
X-Men Legends II: Rise of Apocalypse,2005,0.25,6.2,82
TV Superstars,2010,0.25,4.9,56
Family Guy: Back to the Multiverse,2012,0.25,5,39
Ninja Gaiden 3,2012,0.25,4.4,58
Sid Meier's Civilization VI,2016,0.25,7.3,88
Sword Art Online: Lost Song,2015,0.25,6.3,63
NBA Courtside 2002,2002,0.25,7.4,71
F1 2015,2015,0.25,5.3,64
Sly Cooper: Thieves in Time,2013,0.25,8.2,75
Digimon World: Data Squad,2006,0.24,8,43
Hitman: Absolution,2012,0.24,7,79
Stella Glow,2015,0.24,8.7,79
Racquet Sports,2010,0.24,8.6,51
Trials Fusion,2014,0.24,7.1,80
Far Cry Instincts Predator,2006,0.24,6.2,78
Onechanbara Z2: Chaos,2014,0.24,6.5,57
Skylanders SWAP Force,2013,0.24,6.4,68
Army Men: Sarge's Heroes 2,2000,0.24,7.3,48
MLB,2005,0.24,7.9,80
Skylanders: SuperChargers,2015,0.24,5.5,76
Ys: Memories of Celceta,2012,0.24,8.8,82
Britney's Dance Beat,2002,0.24,4.8,63
Vexx,2003,0.24,7.6,63
Samurai Warriors 4,2014,0.24,8.1,76
Ace Combat: Assault Horizon Legacy,2011,0.24,7.8,71
TimeSplitters: Future Perfect,2005,0.24,9.1,84
Dynasty Warriors Next,2011,0.24,7.5,67
Harvest Moon: Magical Melody,2005,0.24,8.9,83
Genma Onimusha,2002,0.24,8.6,83
DK: King of Swing,2005,0.24,5,70
Turning Point: Fall of Liberty,2008,0.24,5.5,42
Homefront,2011,0.24,5.5,70
Corvette,2003,0.24,8.6,53
Percy Jackson and the Olympians: The Lightning Thief,2010,0.24,6.9,56
Fuel,2009,0.24,7.4,67
NBA Live 10,2009,0.24,4.2,64
Burnout 2: Point of Impact,2003,0.24,5.1,88
Super Monkey Ball Deluxe,2005,0.24,7.7,78
Kill.Switch,2003,0.24,8,75
Lunar: Silver Star Harmony,2009,0.24,7.7,80
Peter Jackson's King Kong: The Official Game of the Movie,2005,0.24,8.3,81
Dancing With The Stars,2007,0.24,6.2,42
The Simpsons: Road Rage,2001,0.24,7.7,67
Dynasty Warriors 7,2011,0.24,8,58
Total War: Attila,2015,0.24,7.3,80
Azurik: Rise of Perathia,2001,0.24,8.5,52
Dragon Ball Z: Sagas,2005,0.24,6.1,51
AC/DC LIVE: Rock Band Track Pack,2008,0.24,5.3,60
Crash Tag Team Racing,2005,0.24,7.1,68
Asura's Wrath,2012,0.24,6.5,71
Harvest Moon: Another Wonderful Life,2004,0.24,9.2,70
Final Fantasy Fables: Chocobo Tales,2006,0.24,7.4,75
NCAA College Basketball 2K3,2002,0.24,8,83
NHL 17,2016,0.24,4,77
Bakugan: Battle Brawlers,2009,0.24,5.2,60
Fantastic 4,2005,0.24,4,61
Tony Hawk's American Sk8land,2005,0.24,5.4,64
Metro 2033,2010,0.24,8.1,81
Valhalla Knights,2006,0.24,6.3,53
The Adventures of Tintin: The Game,2011,0.24,6.1,63
Etrian Mystery Dungeon,2015,0.24,7.9,77
Zumba Fitness: World Party,2013,0.24,6.2,73
Luminous Arc,2007,0.24,7,70
4x4 EVO 2,2001,0.24,6.2,59
Grand Theft Auto,2004,0.24,7.1,68
Avalon Code,2008,0.24,7.4,71
Dreamcast Collection,2011,0.24,5.2,53
Resident Evil Archives: Resident Evil Zero,2008,0.24,8.2,62
Rocket League,2016,0.24,8.3,87
My Street,2003,0.24,3.9,46
Spider-Man: Shattered Dimensions,2010,0.24,7.7,75
Ghost Rider,2007,0.24,5.7,49
Shadow Hearts: Covenant,2004,0.24,9.1,85
X-Men: Destiny,2011,0.24,4.8,50
Driver '76,2007,0.24,7.9,57
Harry Potter and the Order of the Phoenix,2007,0.24,6.6,67
Midway Arcade Treasures: Extended Play,2005,0.24,7.8,63
Dynasty Warriors 6 Empires,2009,0.24,7.3,59
The Testament of Sherlock Holmes,2012,0.24,7.4,65
FIFA World Cup Germany 2006,2006,0.24,8.4,77
NBA Live 14,2013,0.24,2.7,43
G.I. Joe: The Rise of Cobra,2009,0.24,4.7,42
Game of Thrones,2012,0.24,5.5,53
LEGO Marvel's Avengers,2016,0.24,6.8,69
PDC World Championship Darts 2008,2008,0.24,5.4,51
X-Men: Destiny,2011,0.24,5,47
Pro Evolution Soccer 2014,2013,0.24,4.3,80
Pure Futbol,2010,0.24,7.5,46
Afro Samurai,2009,0.24,6.2,65
Ar tonelico Qoga: Knell of Ar Ciel,2010,0.24,5.4,61
NASCAR 08,2007,0.24,8.2,56
Broken Sword: Shadow of the Templars - The Director's Cut,2009,0.24,8.1,74
Divinity II: Ego Draconis,2009,0.24,6.4,62
Birds of Steel,2012,0.23,8.4,73
DC Universe Online,2011,0.23,6.8,72
Bakugan: Battle Brawlers,2009,0.23,8.2,63
Naruto: Path of the Ninja 2,2006,0.23,7.5,62
Karaoke Revolution Volume 2,2004,0.23,7,76
Prince of Persia: The Forgotten Sands,2010,0.23,8.1,77
Disney's A Christmas Carol,2009,0.23,6.5,66
NBA Live 15,2014,0.23,5.6,59
NASCAR Thunder 2004,2003,0.23,9.1,85
Buffy the Vampire Slayer,2002,0.23,9.1,79
Harry Potter and the Goblet of Fire,2005,0.23,5.8,68
Sands of Destruction,2008,0.23,7.9,63
Harry Potter and the Goblet of Fire,2005,0.23,6,68
Viva Pinata: Party Animals,2007,0.23,6.2,56
World Series Baseball,2002,0.23,8.8,85
Test Drive: Eve of Destruction,2004,0.23,9.1,73
Dynasty Warriors: Gundam Reborn,2013,0.23,7.5,64
Hatsune Miku: Project Diva f,2012,0.23,8,81
The Legend of Heroes: Trails of Cold Steel,2013,0.23,7.5,77
