Developer,Genre,Total_Global_Sales,Total_Global_Sales_By_Developer
Game Arts,Action,0.01,16.7
Game Arts,Role-Playing,3.15,16.7
Game Arts,Fighting,13.4,16.7
DMA Design,Action,16.52,16.52
Bungie,Shooter,16.06,16.06
Griptonite Games,Action,8.21,15.98
Griptonite Games,Platform,2.38,15.98
Griptonite Games,Puzzle,0.1,15.98
Griptonite Games,Racing,0.13,15.98
Griptonite Games,Adventure,1.55,15.98
Griptonite Games,Strategy,0.21,15.98
Griptonite Games,Role-Playing,0.46,15.98
Griptonite Games,Shooter,0.17,15.98
Griptonite Games,Sports,0.04,15.98
Griptonite Games,Simulation,2.73,15.98
SCE Santa Monica,Racing,0.32,15.89
SCE Santa Monica,Action,15.57,15.89
Sega,Role-Playing,1.97,15.76
Sega,Strategy,0.58,15.76
Sega,Action,1.48,15.76
Sega,Misc,5.06,15.76
Sega,Racing,1.62,15.76
Sega,Platform,2.91,15.76
Sega,Sports,0.85,15.76
Sega,Puzzle,0.1,15.76
Sega,Fighting,0.84,15.76
Sega,Simulation,0.35,15.76
Bungie Software,Shooter,15.61,15.61
LucasArts,Simulation,2.26,15.47
LucasArts,Strategy,0.41,15.47
LucasArts,Action,10.55,15.47
LucasArts,Adventure,0.1,15.47
LucasArts,Shooter,2.15,15.47
Heavy Iron Studios,Platform,9.13,15.21
Heavy Iron Studios,Action,5.81,15.21
Heavy Iron Studios,Adventure,0.27,15.21
Core Design Ltd.,Puzzle,0.08,15.17
Core Design Ltd.,Adventure,0.22,15.17
Core Design Ltd.,Simulation,0.34,15.17
Core Design Ltd.,Action,14.53,15.17
Ubisoft Paris,Racing,0.06,14.97
Ubisoft Paris,Shooter,6.08,14.97
Ubisoft Paris,Misc,8.83,14.97
Reflections Interactive,Racing,3.92,14.92
Reflections Interactive,Action,11,14.92
EA Games,Shooter,1.06,14.66
EA Games,Role-Playing,0.87,14.66
EA Games,Racing,3.72,14.66
EA Games,Action,7.74,14.66
EA Games,Simulation,1.27,14.66
Insomniac Games,Platform,3.71,14.55
Insomniac Games,Shooter,10.67,14.55
Insomniac Games,Action,0.17,14.55
Retro Studios,Platform,7.96,14.51
Retro Studios,Shooter,6.55,14.51
Digital Eclipse,Role-Playing,0.11,14.5
Digital Eclipse,Platform,5.74,14.5
Digital Eclipse,Misc,6.48,14.5
Digital Eclipse,Shooter,0.04,14.5
Digital Eclipse,Action,2.13,14.5
Nd Cube,Racing,1.06,14.32
Nd Cube,Misc,13.26,14.32
Game Freak,Role-Playing,14.13,14.18
Game Freak,Platform,0.05,14.18
Radical Entertainment,Puzzle,0.42,14.14
Radical Entertainment,Racing,1.31,14.14
Radical Entertainment,Platform,1.77,14.14
Radical Entertainment,Action,10,14.14
Radical Entertainment,Strategy,0.16,14.14
Radical Entertainment,Sports,0.48,14.14
Zipper Interactive,Shooter,13.88,13.88
SCEE London Studio,Adventure,0.95,13.84
SCEE London Studio,Misc,8.9,13.84
SCEE London Studio,Simulation,1.26,13.84
SCEE London Studio,Sports,0.85,13.84
SCEE London Studio,Action,1.88,13.84
High Voltage Software,Adventure,0.95,13.8
High Voltage Software,Misc,1.56,13.8
High Voltage Software,Fighting,0.11,13.8
High Voltage Software,Simulation,0.62,13.8
High Voltage Software,Shooter,0.75,13.8
High Voltage Software,Action,6.27,13.8
High Voltage Software,Strategy,0.27,13.8
High Voltage Software,Role-Playing,0.14,13.8
High Voltage Software,Platform,1.1,13.8
High Voltage Software,Sports,2.03,13.8
Obsidian Entertainment,Role-Playing,13.56,13.56
Ubisoft Montpellier,Misc,3.46,13.51
Ubisoft Montpellier,Action,5.05,13.51
Ubisoft Montpellier,Platform,5,13.51
Sledgehammer Games,Shooter,13.34,13.34
"Pipeworks Software, Inc.",Action,1.42,13.05
"Pipeworks Software, Inc.",Fighting,1.68,13.05
"Pipeworks Software, Inc.",Puzzle,0.11,13.05
"Pipeworks Software, Inc.",Misc,0.19,13.05
"Pipeworks Software, Inc.",Sports,9.65,13.05
Kojima Productions,Misc,0.04,13
Kojima Productions,Action,12.73,13
Kojima Productions,Role-Playing,0.23,13
Mass Media,Misc,8.94,12.77
Mass Media,Action,0.33,12.77
Mass Media,Shooter,0.35,12.77
Mass Media,Puzzle,3.1,12.77
Mass Media,Racing,0.05,12.77
High Moon Studios,Shooter,9.18,12.75
High Moon Studios,Action,3.57,12.75
Avalanche Software,Adventure,1.26,12.71
Avalanche Software,Sports,0.07,12.71
Avalanche Software,Shooter,0.1,12.71
Avalanche Software,Action,4.93,12.71
Avalanche Software,Fighting,0.91,12.71
Avalanche Software,Platform,5.44,12.71
"Retro Studios, Entertainment Analysis & Development Division",Racing,12.66,12.66
Io Interactive,Action,10.61,12.63
Io Interactive,Shooter,2.02,12.63
CyberConnect2,Action,0.64,12.61
CyberConnect2,Role-Playing,2.61,12.61
CyberConnect2,Fighting,9.36,12.61
Techland,Racing,0.22,12.56
Techland,Shooter,2.26,12.56
Techland,Action,10.08,12.56
Hudson Soft,Misc,11.04,12.43
Hudson Soft,Platform,0.3,12.43
Hudson Soft,Puzzle,0.43,12.43
Hudson Soft,Simulation,0.1,12.43
Hudson Soft,Adventure,0.08,12.43
Hudson Soft,Sports,0.22,12.43
Hudson Soft,Role-Playing,0.26,12.43
Namco Bandai Games,Misc,2.38,12.2
Namco Bandai Games,Sports,2.24,12.2
Namco Bandai Games,Action,0.26,12.2
Namco Bandai Games,Role-Playing,1.5,12.2
Namco Bandai Games,Racing,1.88,12.2
Namco Bandai Games,Fighting,3.94,12.2
"Luxoflux, Inc.",Racing,0.46,12.09
"Luxoflux, Inc.",Platform,3.43,12.09
"Luxoflux, Inc.",Action,8.2,12.09
Visceral Games,Action,4.13,12.06
Visceral Games,Shooter,7.93,12.06
Krome Studios,Misc,0.23,11.92
Krome Studios,Platform,3.41,11.92
Krome Studios,Sports,0.09,11.92
Krome Studios,Action,8.19,11.92
Blitz Games,Adventure,0.8,11.7
Blitz Games,Misc,3.35,11.7
Blitz Games,Shooter,1.38,11.7
Blitz Games,Simulation,0.74,11.7
Blitz Games,Action,3.18,11.7
Blitz Games,Sports,0.6,11.7
Blitz Games,Platform,1.65,11.7
"EA Sports, EA Vancouver",Sports,11.47,11.47
Ubisoft Shanghai,Action,7.21,11.47
Ubisoft Shanghai,Platform,0.6,11.47
Ubisoft Shanghai,Misc,0.25,11.47
Ubisoft Shanghai,Shooter,1.82,11.47
Ubisoft Shanghai,Strategy,1.59,11.47
SCEA San Diego Studios,Racing,0.53,11.42
SCEA San Diego Studios,Sports,10.89,11.42
Sucker Punch,Action,7.57,11.42
Sucker Punch,Platform,3.85,11.42
Sumo Digital,Racing,1.75,11.16
Sumo Digital,Platform,2.54,11.16
Sumo Digital,Sports,6.64,11.16
Sumo Digital,Adventure,0.23,11.16
Black Box,Sports,1.18,11.13
Black Box,Action,3.73,11.13
Black Box,Racing,6.22,11.13
Crystal Dynamics,Racing,0.34,10.97
Crystal Dynamics,Action,9.25,10.97
Crystal Dynamics,Adventure,1.38,10.97
EA Bright Light,Racing,0.74,10.95
EA Bright Light,Misc,2.19,10.95
EA Bright Light,Action,5.7,10.95
EA Bright Light,Adventure,0.32,10.95
